"","capital","capitalLabel","coordinate_location","capital_of","capital_ofLabel","country","countryLabel"
"211","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q403","Serbia","http://www.wikidata.org/entity/Q403","Serbia"
"212","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q36704","Yugoslavia","http://www.wikidata.org/entity/Q403","Serbia"
"213","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q37024","Serbia and Montenegro","http://www.wikidata.org/entity/Q403","Serbia"
"214","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q83286","Socialist Federal Republic of Yugoslavia","http://www.wikidata.org/entity/Q403","Serbia"
"215","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q191077","Kingdom of Yugoslavia","http://www.wikidata.org/entity/Q403","Serbia"
"216","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q241748","Kingdom of Serbia","http://www.wikidata.org/entity/Q403","Serbia"
"217","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q269864","Socialist Republic of Serbia","http://www.wikidata.org/entity/Q403","Serbia"
"218","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q838261","Federal Republic of Yugoslavia","http://www.wikidata.org/entity/Q403","Serbia"
"219","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q878319","Serbian Despotate","http://www.wikidata.org/entity/Q403","Serbia"
"220","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q934644","Republic of Serbia","http://www.wikidata.org/entity/Q403","Serbia"
"221","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q1277557","Democratic Federal Yugoslavia","http://www.wikidata.org/entity/Q403","Serbia"
"222","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q2074197","Belgrade District","http://www.wikidata.org/entity/Q403","Serbia"
"223","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)","http://www.wikidata.org/entity/Q15102440","Kingdom of Serbs, Croats and Slovenes","http://www.wikidata.org/entity/Q403","Serbia"
"224","http://www.wikidata.org/entity/Q3718","Dakar","Point(-17.457222222 14.731944444)","http://www.wikidata.org/entity/Q1041","Senegal","http://www.wikidata.org/entity/Q1041","Senegal"
"225","http://www.wikidata.org/entity/Q3718","Dakar","Point(-17.457222222 14.731944444)","http://www.wikidata.org/entity/Q210682","French West Africa","http://www.wikidata.org/entity/Q1041","Senegal"
"226","http://www.wikidata.org/entity/Q3718","Dakar","Point(-17.457222222 14.731944444)","http://www.wikidata.org/entity/Q216632","Mali Federation","http://www.wikidata.org/entity/Q1041","Senegal"
"227","http://www.wikidata.org/entity/Q3718","Dakar","Point(-17.457222222 14.731944444)","http://www.wikidata.org/entity/Q856268","Dakar","http://www.wikidata.org/entity/Q1041","Senegal"
"228","http://www.wikidata.org/entity/Q3726","Banjul","Point(-16.5775 13.453055555)","http://www.wikidata.org/entity/Q1005","The Gambia","http://www.wikidata.org/entity/Q1005","The Gambia"
"229","http://www.wikidata.org/entity/Q3733","Conakry","Point(-13.712222222 9.509166666)","http://www.wikidata.org/entity/Q1006","Guinea","http://www.wikidata.org/entity/Q1006","Guinea"
